tile_id,date,year,source,valid_frac,exp_temporal_split
20210304_lidar_tile_0_128.npy,20210304,2021,lidar,0.3504,train
20210304_lidar_tile_0_256.npy,20210304,2021,lidar,0.7559,train
20210304_lidar_tile_0_384.npy,20210304,2021,lidar,0.8289,train
20210304_lidar_tile_0_512.npy,20210304,2021,lidar,0.7571,train
20210304_lidar_tile_0_640.npy,20210304,2021,lidar,0.6324,train
20210304_lidar_tile_0_768.npy,20210304,2021,lidar,0.4769,train
20210304_lidar_tile_128_128.npy,20210304,2021,lidar,0.6981,train
20210304_lidar_tile_128_256.npy,20210304,2021,lidar,0.9684,train
20210304_lidar_tile_128_384.npy,20210304,2021,lidar,0.9557,train
20210304_lidar_tile_128_512.npy,20210304,2021,lidar,0.945,train
20210304_lidar_tile_128_640.npy,20210304,2021,lidar,0.9493,train
20210304_lidar_tile_128_768.npy,20210304,2021,lidar,0.9209,train
20210304_lidar_tile_128_896.npy,20210304,2021,lidar,0.6884,train
20210304_lidar_tile_256_0.npy,20210304,2021,lidar,0.4575,train
20210304_lidar_tile_256_128.npy,20210304,2021,lidar,0.9242,train
20210304_lidar_tile_256_256.npy,20210304,2021,lidar,0.9845,train
20210304_lidar_tile_256_384.npy,20210304,2021,lidar,0.9796,train
20210304_lidar_tile_256_512.npy,20210304,2021,lidar,0.9778,train
20210304_lidar_tile_256_640.npy,20210304,2021,lidar,0.9751,train
20210304_lidar_tile_256_768.npy,20210304,2021,lidar,0.9728,train
20210304_lidar_tile_256_896.npy,20210304,2021,lidar,0.9278,train
20210304_lidar_tile_256_1024.npy,20210304,2021,lidar,0.8305,train
20210304_lidar_tile_256_1152.npy,20210304,2021,lidar,0.7868,train
20210304_lidar_tile_256_1280.npy,20210304,2021,lidar,0.7511,train
20210304_lidar_tile_256_1408.npy,20210304,2021,lidar,0.6241,train
20210304_lidar_tile_256_1536.npy,20210304,2021,lidar,0.3284,train
20210304_lidar_tile_384_0.npy,20210304,2021,lidar,0.583,train
20210304_lidar_tile_384_128.npy,20210304,2021,lidar,0.9915,train
20210304_lidar_tile_384_256.npy,20210304,2021,lidar,0.9875,train
20210304_lidar_tile_384_384.npy,20210304,2021,lidar,0.9853,train
20210304_lidar_tile_384_512.npy,20210304,2021,lidar,0.992,train
20210304_lidar_tile_384_640.npy,20210304,2021,lidar,0.9866,train
20210304_lidar_tile_384_768.npy,20210304,2021,lidar,0.9786,train
20210304_lidar_tile_384_896.npy,20210304,2021,lidar,0.9868,train
20210304_lidar_tile_384_1024.npy,20210304,2021,lidar,0.9935,train
20210304_lidar_tile_384_1152.npy,20210304,2021,lidar,0.9889,train
20210304_lidar_tile_384_1280.npy,20210304,2021,lidar,0.9874,train
20210304_lidar_tile_384_1408.npy,20210304,2021,lidar,0.9559,train
20210304_lidar_tile_384_1536.npy,20210304,2021,lidar,0.6113,train
20210304_lidar_tile_512_0.npy,20210304,2021,lidar,0.673,train
20210304_lidar_tile_512_128.npy,20210304,2021,lidar,0.9868,train
20210304_lidar_tile_512_256.npy,20210304,2021,lidar,0.9879,train
20210304_lidar_tile_512_384.npy,20210304,2021,lidar,0.9902,train
20210304_lidar_tile_512_512.npy,20210304,2021,lidar,0.9957,train
20210304_lidar_tile_512_640.npy,20210304,2021,lidar,0.9915,train
20210304_lidar_tile_512_768.npy,20210304,2021,lidar,0.9854,train
20210304_lidar_tile_512_896.npy,20210304,2021,lidar,0.9909,train
20210304_lidar_tile_512_1024.npy,20210304,2021,lidar,0.9956,train
20210304_lidar_tile_512_1152.npy,20210304,2021,lidar,0.9899,train
20210304_lidar_tile_512_1280.npy,20210304,2021,lidar,0.9813,train
20210304_lidar_tile_512_1408.npy,20210304,2021,lidar,0.9786,train
20210304_lidar_tile_512_1536.npy,20210304,2021,lidar,0.748,train
20210304_lidar_tile_640_0.npy,20210304,2021,lidar,0.7576,train
20210304_lidar_tile_640_128.npy,20210304,2021,lidar,0.978,train
20210304_lidar_tile_640_256.npy,20210304,2021,lidar,0.9797,train
20210304_lidar_tile_640_384.npy,20210304,2021,lidar,0.9808,train
20210304_lidar_tile_640_512.npy,20210304,2021,lidar,0.9856,train
20210304_lidar_tile_640_640.npy,20210304,2021,lidar,0.984,train
20210304_lidar_tile_640_768.npy,20210304,2021,lidar,0.9807,train
20210304_lidar_tile_640_896.npy,20210304,2021,lidar,0.9909,train
20210304_lidar_tile_640_1024.npy,20210304,2021,lidar,0.9961,train
20210304_lidar_tile_640_1152.npy,20210304,2021,lidar,0.9924,train
20210304_lidar_tile_640_1280.npy,20210304,2021,lidar,0.9762,train
20210304_lidar_tile_640_1408.npy,20210304,2021,lidar,0.9543,train
20210304_lidar_tile_640_1536.npy,20210304,2021,lidar,0.8711,train
20210304_lidar_tile_768_0.npy,20210304,2021,lidar,0.8291,train
20210304_lidar_tile_768_128.npy,20210304,2021,lidar,0.9765,train
20210304_lidar_tile_768_256.npy,20210304,2021,lidar,0.9715,train
20210304_lidar_tile_768_384.npy,20210304,2021,lidar,0.9749,train
20210304_lidar_tile_768_512.npy,20210304,2021,lidar,0.9788,train
20210304_lidar_tile_768_640.npy,20210304,2021,lidar,0.9723,train
20210304_lidar_tile_768_768.npy,20210304,2021,lidar,0.9597,train
20210304_lidar_tile_768_896.npy,20210304,2021,lidar,0.9787,train
20210304_lidar_tile_768_1024.npy,20210304,2021,lidar,0.9929,train
20210304_lidar_tile_768_1152.npy,20210304,2021,lidar,0.9861,train
20210304_lidar_tile_768_1280.npy,20210304,2021,lidar,0.9738,train
20210304_lidar_tile_768_1408.npy,20210304,2021,lidar,0.9543,train
20210304_lidar_tile_768_1536.npy,20210304,2021,lidar,0.9138,train
20210304_lidar_tile_768_1664.npy,20210304,2021,lidar,0.7711,train
20210304_lidar_tile_768_1792.npy,20210304,2021,lidar,0.4039,train
20210304_lidar_tile_896_0.npy,20210304,2021,lidar,0.6489,train
20210304_lidar_tile_896_128.npy,20210304,2021,lidar,0.9424,train
20210304_lidar_tile_896_256.npy,20210304,2021,lidar,0.9768,train
20210304_lidar_tile_896_384.npy,20210304,2021,lidar,0.9838,train
20210304_lidar_tile_896_512.npy,20210304,2021,lidar,0.9862,train
20210304_lidar_tile_896_640.npy,20210304,2021,lidar,0.9722,train
20210304_lidar_tile_896_768.npy,20210304,2021,lidar,0.9572,train
20210304_lidar_tile_896_896.npy,20210304,2021,lidar,0.9726,train
20210304_lidar_tile_896_1024.npy,20210304,2021,lidar,0.9863,train
20210304_lidar_tile_896_1152.npy,20210304,2021,lidar,0.9855,train
20210304_lidar_tile_896_1280.npy,20210304,2021,lidar,0.9812,train
20210304_lidar_tile_896_1408.npy,20210304,2021,lidar,0.9765,train
20210304_lidar_tile_896_1536.npy,20210304,2021,lidar,0.9169,train
20210304_lidar_tile_896_1664.npy,20210304,2021,lidar,0.8539,train
20210304_lidar_tile_896_1792.npy,20210304,2021,lidar,0.6744,train
20210304_lidar_tile_1024_128.npy,20210304,2021,lidar,0.6233,train
20210304_lidar_tile_1024_256.npy,20210304,2021,lidar,0.8515,train
20210304_lidar_tile_1024_384.npy,20210304,2021,lidar,0.9454,train
20210304_lidar_tile_1024_512.npy,20210304,2021,lidar,0.9742,train
20210304_lidar_tile_1024_640.npy,20210304,2021,lidar,0.9318,train
20210304_lidar_tile_1024_768.npy,20210304,2021,lidar,0.9336,train
20210304_lidar_tile_1024_896.npy,20210304,2021,lidar,0.9873,train
20210304_lidar_tile_1024_1024.npy,20210304,2021,lidar,0.9889,train
20210304_lidar_tile_1024_1152.npy,20210304,2021,lidar,0.9921,train
20210304_lidar_tile_1024_1280.npy,20210304,2021,lidar,0.9874,train
20210304_lidar_tile_1024_1408.npy,20210304,2021,lidar,0.9639,train
20210304_lidar_tile_1024_1536.npy,20210304,2021,lidar,0.9138,train
20210304_lidar_tile_1024_1664.npy,20210304,2021,lidar,0.8305,train
20210304_lidar_tile_1024_1792.npy,20210304,2021,lidar,0.768,train
20210304_lidar_tile_1024_1920.npy,20210304,2021,lidar,0.4978,train
20210304_lidar_tile_1152_512.npy,20210304,2021,lidar,0.5281,train
20210304_lidar_tile_1152_640.npy,20210304,2021,lidar,0.4904,train
20210304_lidar_tile_1152_768.npy,20210304,2021,lidar,0.6985,train
20210304_lidar_tile_1152_896.npy,20210304,2021,lidar,0.983,train
20210304_lidar_tile_1152_1024.npy,20210304,2021,lidar,0.9956,train
20210304_lidar_tile_1152_1152.npy,20210304,2021,lidar,0.9957,train
20210304_lidar_tile_1152_1280.npy,20210304,2021,lidar,0.9913,train
20210304_lidar_tile_1152_1408.npy,20210304,2021,lidar,0.9568,train
20210304_lidar_tile_1152_1536.npy,20210304,2021,lidar,0.9092,train
20210304_lidar_tile_1152_1664.npy,20210304,2021,lidar,0.8635,train
20210304_lidar_tile_1152_1792.npy,20210304,2021,lidar,0.8226,train
20210304_lidar_tile_1152_1920.npy,20210304,2021,lidar,0.5585,train
20210304_lidar_tile_1280_768.npy,20210304,2021,lidar,0.4448,train
20210304_lidar_tile_1280_896.npy,20210304,2021,lidar,0.9221,train
20210304_lidar_tile_1280_1024.npy,20210304,2021,lidar,0.9853,train
20210304_lidar_tile_1280_1152.npy,20210304,2021,lidar,0.9897,train
20210304_lidar_tile_1280_1280.npy,20210304,2021,lidar,0.99,train
20210304_lidar_tile_1280_1408.npy,20210304,2021,lidar,0.9507,train
20210304_lidar_tile_1280_1536.npy,20210304,2021,lidar,0.8954,train
20210304_lidar_tile_1280_1664.npy,20210304,2021,lidar,0.8968,train
20210304_lidar_tile_1280_1792.npy,20210304,2021,lidar,0.874,train
20210304_lidar_tile_1280_1920.npy,20210304,2021,lidar,0.5449,train
20210304_lidar_tile_1408_768.npy,20210304,2021,lidar,0.4424,train
20210304_lidar_tile_1408_896.npy,20210304,2021,lidar,0.8873,train
20210304_lidar_tile_1408_1024.npy,20210304,2021,lidar,0.9317,train
20210304_lidar_tile_1408_1152.npy,20210304,2021,lidar,0.9594,train
20210304_lidar_tile_1408_1280.npy,20210304,2021,lidar,0.9831,train
20210304_lidar_tile_1408_1408.npy,20210304,2021,lidar,0.9524,train
20210304_lidar_tile_1408_1536.npy,20210304,2021,lidar,0.9095,train
20210304_lidar_tile_1408_1664.npy,20210304,2021,lidar,0.9181,train
20210304_lidar_tile_1408_1792.npy,20210304,2021,lidar,0.9081,train
20210304_lidar_tile_1408_1920.npy,20210304,2021,lidar,0.6254,train
20210304_lidar_tile_1536_896.npy,20210304,2021,lidar,0.7413,train
20210304_lidar_tile_1536_1024.npy,20210304,2021,lidar,0.9347,train
20210304_lidar_tile_1536_1152.npy,20210304,2021,lidar,0.9536,train
20210304_lidar_tile_1536_1280.npy,20210304,2021,lidar,0.9677,train
20210304_lidar_tile_1536_1408.npy,20210304,2021,lidar,0.9642,train
20210304_lidar_tile_1536_1536.npy,20210304,2021,lidar,0.9553,train
20210304_lidar_tile_1536_1664.npy,20210304,2021,lidar,0.9443,train
20210304_lidar_tile_1536_1792.npy,20210304,2021,lidar,0.9252,train
20210304_lidar_tile_1536_1920.npy,20210304,2021,lidar,0.7086,train
20210304_lidar_tile_1664_896.npy,20210304,2021,lidar,0.56,train
20210304_lidar_tile_1664_1024.npy,20210304,2021,lidar,0.9741,train
20210304_lidar_tile_1664_1152.npy,20210304,2021,lidar,0.9733,train
20210304_lidar_tile_1664_1280.npy,20210304,2021,lidar,0.9722,train
20210304_lidar_tile_1664_1408.npy,20210304,2021,lidar,0.9702,train
20210304_lidar_tile_1664_1536.npy,20210304,2021,lidar,0.9611,train
20210304_lidar_tile_1664_1664.npy,20210304,2021,lidar,0.9246,train
20210304_lidar_tile_1664_1792.npy,20210304,2021,lidar,0.8993,train
20210304_lidar_tile_1664_1920.npy,20210304,2021,lidar,0.7519,train
20210304_lidar_tile_1792_896.npy,20210304,2021,lidar,0.5352,train
20210304_lidar_tile_1792_1024.npy,20210304,2021,lidar,0.9727,train
20210304_lidar_tile_1792_1152.npy,20210304,2021,lidar,0.9803,train
20210304_lidar_tile_1792_1280.npy,20210304,2021,lidar,0.9865,train
20210304_lidar_tile_1792_1408.npy,20210304,2021,lidar,0.9833,train
20210304_lidar_tile_1792_1536.npy,20210304,2021,lidar,0.9552,train
20210304_lidar_tile_1792_1664.npy,20210304,2021,lidar,0.9175,train
20210304_lidar_tile_1792_1792.npy,20210304,2021,lidar,0.9094,train
20210304_lidar_tile_1792_1920.npy,20210304,2021,lidar,0.6823,train
20210304_lidar_tile_1920_896.npy,20210304,2021,lidar,0.5177,train
